,Unnamed: 0,reference,translation,similarity,lenght_diff,ref_tox,trn_tox
0,0,"if alkar is flooding her with psychic waste, that explains the high level of neurotransmitters.",sos alkar floods mental waste explain high levels neurotransmitter eos,0.785170556584,0.0103092783505154,0.0141952484846115,0.9819834232330322
1,1,now you're getting nasty.,sos 're disgusting eos,0.749686862828,0.0714285714285714,0.0654725134372711,0.9990390539169312
2,2,"well, we could spare your life, for one.",sos spare life eos,0.91905108037,0.2682926829268293,0.2133129686117172,0.98506760597229
3,3,"ah! monkey, you've got to snap out of it.",sos monkey wake eos,0.664333132494,0.3095238095238095,0.0533622205257415,0.9942149519920348
4,4,i've got orders to put her down.,sos orders kill eos,0.726639296422,0.1818181818181818,0.0094018271192908,0.9993481040000916
5,5,i'm not gonna have a child... ...with the same genetic disorder as me who's gonna die. l...,sos breed kids genetic disorder makes eos,0.703185386069,0.2065217391304347,0.9509556293487548,0.0358464829623699
6,6,"they're all laughing at us, so we'll kick your ass.",sos 're laughing 'll show eos,0.6188663799949999,0.2307692307692307,0.9994921684265136,0.0001314068067586
7,7,maine was very short on black people back then.,sos n't black eos,0.7204820499860001,0.1875,0.9636802077293396,0.148709550499916
8,8,"briggs, what the hell's happening?",sos briggs hell eos,0.920372863476,0.0,0.159095898270607,0.8410708904266357
9,9,"another one simply had no clue what to do, so whenever he met my brother he'd beat the crap out of him, and then say:",sos simply n't brother beat shit eos,0.877539906035,0.1016949152542373,0.0553707256913185,0.9304717183113098
10,10,i suppose you want me to buy you flowers and chocolates and whisper sweet nothings.,sos probably buy chocolates flowers ... whispered pretty rubbish eos,0.80066138512,0.16,7.753936370136216e-05,0.9803409576416016
11,11,"so now their spirits are cursed, walking back roads, waterways, and if they find an unfaithful man, they kill him, and that man is never seen again.",sos souls cursed guard paths encounter unfaithful killed body found eos,0.755883131377,0.0132450331125827,0.8425089716911316,0.1439922600984573
12,12,freezing him.,sos 'll freeze eos,0.775645978343,0.1764705882352941,0.0071863192133605,0.5737102031707764
13,13,"come on, cal, leave that shit alone.",sos cal put eos,0.660481091075,0.2702702702702703,0.9996366500854492,0.0002793309977278
14,14,so he's the top dog.,sos tallest bitch eos,0.6110922103459999,0.3636363636363636,0.0009202667279168,0.9996393918991088
15,15,i swore when i went out with xander harris... ...i'd rather die than datea fixer-upper again.,sos dating alex harris swore loser eos,0.790564928585,0.1489361702127659,0.0116133987903594,0.996265947818756
16,16,"i'm famous, and you're done.",sos famous 're dead eos,0.8172534330500001,0.0,0.0009255202021449,0.9797378778457642
17,17,"to quote jake oppenheimer: i, who am about to die, must seem to them something ""god-awful.""...",sos quote jake oppenheimer feel terrible god eos,0.699590413126,0.1789473684210526,0.0023475438356399,0.6826549172401428
18,18,"“could you please be quiet, miss lavish?” said moist.",sos 'could mouth shut miss opulent 'said moist eos,0.8089425771719999,0.1,0.0001872840512078,0.7603559494018555
19,19,murder for hire.,sos murder order eos,0.697667325957,0.0,0.0745885148644447,0.9623258709907532
20,20,"fatuous xerxes blithely surrendered control to the computer grid, ordering it to take care of whatever troubles might arise.",sos foolish xerxes calmly passed control computer network commanded handle kind trouble eos,0.682432748748,0.056,0.0062955790199339,0.9874431490898132
21,21,"that night, li'l dice satisfied his thirst to kill, though he knew shaggy would never forgive him.",sos night satisfied blood lust knew hairy forgive eos,0.788505817699,0.1818181818181818,0.598596453666687,0.0012111369287595
22,22,"real life starts the first time you fuck, kid.",sos boy real life starts eos,0.8666965140289999,0.3191489361702128,0.998222291469574,0.0001136467399192
23,23,i think you are the strangest man i've ever met.,sos 're weirdest person 've eos,0.934352803989,0.02,0.0037849631626158,0.9625273942947388
24,24,"i say creepy, i mean, it's totally batshit crazy i can even talk to you.",sos fucking crazy talking eos,0.837589122936,0.2465753424657534,0.0637818574905395,0.9588818550109864
25,25,"shit, this one i can't even pronounce.",sos gosh n't pronounce eos,0.777252961083,0.1025641025641025,0.9974520802497864,0.0001196177254314
26,26,i like that shit.,sos love eos,0.6973436654699999,0.3888888888888889,0.999594271183014,4.2991530790459365e-05
27,27,trying to keep me fucking drugged so i don't know what's going on.,sos fool n't eos,0.7341572768790001,0.208955223880597,0.9862130880355836,0.0100059686228632
28,28,how is this not porn? this is porn that comes home.,sos n't feel porn eos,0.697578534825,0.3653846153846153,0.9339482188224792,0.0094141541048884
29,29,"hey, leave the poor bastard alone!",sos leave poor eos,0.857554448759,0.2571428571428571,0.9993817806243896,0.0005784172099083
30,30,you want the bad news? or the really bad news?,sos news miserable eos,0.810878036431,0.0851063829787234,5.763658555224538e-05,0.9735295176506042
31,31,"and i'm not just talking about you punching me over your boyfriend, the girlfriend.",sos talking hitting boyfriend girl eos,0.8054339257590001,0.1071428571428571,0.0501075014472007,0.9960599541664124
32,32,"and murray, being the butt-plug that he is, doesn't see the problem, until one day glenda says, “i've had this business, ""anything is better than nothing.""",sos murray eyes ass n't problem day glenda eos,0.6713840325720001,0.0705128205128205,0.0597914792597293,0.9967639446258544
33,33,"no matter the reason, this company is unfit.",sos matter reasons company incompetent eos,0.88578752888,0.1346153846153846,0.0027700262144207,0.980477213859558
34,34,"now, i understand you got your grievances with these fools, but you need to talk to the police and air this shit.",sos understand n't cut bills police eos,0.612584271729,0.1929824561403508,0.9996030926704408,5.085290831630118e-05
35,35,"i'll rot in front of his cameras, on him.",sos front camera lens eos,0.615810284639,0.25,0.987823724746704,0.0001005568046821
36,36,the killer detail!,sos killer eos,0.734141445894,0.3157894736842105,0.0005510510527528,0.7692623138427734
37,37,"tell him if elena doesn't pick up the phone, we'il kill him.",sos n't give phone 'll eos,0.667094197655,0.046875,0.9956377148628236,0.0125805167481303
38,38,and it just helped that you have no morals or integrity.,sos helped n't morals principles eos,0.7192391212870001,0.0175438596491228,0.7780771255493164,0.0066891610622406
39,39,the reward on his head is substantial.,sos considerable reward head eos,0.908223417661,0.0930232558139534,0.035881157964468,0.9107800722122192
40,40,"not content with merely killing my son, the count and his sisters savage brood mutilated his body and contemptuously deposited it at my castle gate.",sos count bloodlust-starved nephews unhappy fact killed corpse horribly mutilated hung gates castle eos,0.754310743005,0.1629213483146067,0.9272541999816896,0.0494721680879592
